Year,Reg,Group,Bra15,Bra16,Bra17,Bra18,Bra19,Bra20,Bra21,Bra22,Bra23,Bra24,Bra25,Bra26,Bra27,Bra28,Bra29,Bra30,Bra31,Bra32,Bra33,Bra34,Bra35,Bra36,Bra37,Bra38,Bra39,Bra40,Bra41,Bra42,Bra43,Bra44,Bra45,Bra46,Bra47,Bra48,Bra49,Bra50,Bra51,Bra52,Bra53,Bra54,Bra55
1989,1111,U,1394,6514,28715,68235,146453,179037,183842,176413,159693,140038,128941,114969,99297,91012,83029,74461,61664,52961,43958,38496,30355,27858,20264,15018,11453,9400,3901,3623,2067,724,311,268,0,0,0,0,0,0,0,0,0
1989,1111,R,3171,10199,75616,149793,216831,256070,251210,228202,198134,165861,147976,127129,120298,121231,106227,91902,77345,71882,68499,58331,45777,42802,30175,23015,17595,13004,8618,9580,4660,2382,1360,1018,592,478,0,0,0,0,0,0,0
1989,111,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1989,111,U,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1989,111,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1989,1119,T,343,7821,26553,70171,142619,184429,201305,192898,177153,154204,144467,126947,113679,97500,90323,79932,60829,58980,44568,40683,31000,25648,22641,16535,10959,9891,3902,3262,2201,873,371,296,0,0,0,0,0,0,0,0,0
1989,1119,U,484,6613,21722,56444,122834,165389,183897,177233,157978,139255,131732,117038,106298,92019,86878,74687,55337,56273,38309,37916,26732,23356,19801,12916,9587,6828,3480,2596,1914,0,0,391,0,0,0,0,0,0,0,0,0
1989,1119,R,0,11403,48593,136628,211821,235793,243467,227848,219053,187818,174239,150033,130769,110451,98444,92338,74117,65643,60277,47893,42703,32043,30707,27032,14903,19018,5246,5427,3143,3953,1711,0,0,0,0,0,0,0,0,0,0
1989,1127,T,820,14723,33427,84632,152913,184238,168119,159548,146778,129955,106103,101262,94859,84803,79870,71708,53943,48424,45959,37332,32243,23879,21650,17482,12230,8608,6261,3682,2111,2307,1447,0,0,0,154,0,0,0,0,0,0
1989,1127,U,0,10623,26069,71421,135443,176316,161558,158007,141777,127009,105543,97508,95527,83391,78301,72221,53977,47102,44002,35272,31381,23420,21471,16530,9750,7636,4570,3122,2516,1986,1336,0,0,0,189,0,0,0,0,0,0
1989,1127,R,4062,33713,78271,160183,231266,216035,193791,165161,164562,140588,108190,114918,92411,90108,85902,69722,53809,53782,54469,46463,36114,26074,22497,22028,24493,13577,15353,6670,0,3872,1929,0,0,0,0,0,0,0,0,0,0
