Year,Reg,Group,Sex,Dra0,Dra1,Dra2,Dra3,Dra4,Dra5,Dra6,Dra7,Dra8,Dra9,Dra10,Dra11,Dra12,Dra13,Dra14,Dra15,Dra16,Dra17,Dra18,Dra19,Dra20,Dra21,Dra22,Dra23,Dra24,Dra25,Dra26,Dra27,Dra28,Dra29,Dra30,Dra31,Dra32,Dra33,Dra34,Dra35,Dra36,Dra37,Dra38,Dra39,Dra40,Dra41,Dra42,Dra43,Dra44,Dra45,Dra46,Dra47,Dra48,Dra49,Dra50,Dra51,Dra52,Dra53,Dra54,Dra55,Dra56,Dra57,Dra58,Dra59,Dra60,Dra61,Dra62,Dra63,Dra64,Dra65,Dra66,Dra67,Dra68,Dra69,Dra70,Dra71,Dra72,Dra73,Dra74,Dra75,Dra76,Dra77,Dra78,Dra79,Dra80,Dra81,Dra82,Dra83,Dra84,Dra85,Dra86,Dra87,Dra88,Dra89,Dra90,Dra91,Dra92,Dra93,Dra94,Dra95,Dra96,Dra97,Dra98,Dra99,Dra100
2015,1115,U,B,7028,227,110,215,216,519,101,0,224,118,354,360,123,259,536,133,383,891,391,1007,711,777,936,1641,1320,1766,2287,2411,2404,1952,2145,3712,3256,3247,3706,4380,4998,3820,5513,4926,4117,5419,5372,6142,6672,6879,6489,7344,6615,8264,10686,10487,10349,11266,12527,11417,11399,14375,17207,15413,18060,18539,17706,21394,21502,23533,28772,27357,34365,23967,32640,35749,32090,44256,49724,50892,54890,58565,75432,77177,76582,98241,106066,127848,130139,136280,146657,175207,175824,198978,209176,261855,275016,343529,300709,450638,309831,535241,537347,500709,411297
2015,1115,U,M,7909,220,218,210,419,811,194,0,218,230,689,468,238,500,790,261,501,994,259,1524,1406,1099,1456,3296,2141,2699,3018,3536,3949,2906,3554,6630,5047,5300,5496,6372,8008,4963,9351,7162,6076,9108,8644,8746,10628,11907,9791,11417,9996,13778,18285,17649,15948,18247,20950,19148,20428,24594,28735,26161,30267,34175,28293,37987,34239,38560,51542,45942,59236,32305,49623,65253,51797,75039,84328,87919,85471,91371,110440,100576,111294,136875,137272,175080,156555,174572,170677,219603,163259,216915,252762,316493,237370,283650,246161,389756,62639,421991,1002229,222718,200446
2015,1115,U,F,6085,233,0,220,0,212,0,0,230,0,0,246,0,0,273,0,260,783,527,499,0,449,416,0,521,812,1540,1280,832,983,719,711,1452,1227,1949,2406,2134,2761,2014,2914,2321,2044,2375,3820,3180,2455,3631,3898,3780,3578,4406,4729,5849,5718,5972,5521,4711,7100,9185,7921,9851,8396,10793,10895,13664,14251,15014,16290,20072,19226,23251,21413,23236,30638,35241,36338,43074,45790,62184,68686,64413,85489,96180,112697,122058,125565,140456,163862,178816,194619,200003,252230,281536,355691,311005,461072,362642,557049,457428,571785,431642
2015,1115,R,B,10442,629,1021,0,0,740,239,0,542,287,0,555,0,301,0,297,946,658,1658,2062,2136,1857,1692,1560,806,1579,3215,3140,2606,1884,2713,3705,2539,4639,4255,4794,8457,4858,8608,5411,5977,8199,6054,6663,5130,9300,5641,9366,9576,11390,9497,13705,10992,14231,15230,13094,16082,20119,18572,21487,20859,21912,26955,24264,23223,26166,34321,28454,33520,26922,37414,39741,36679,47225,51886,47598,59608,61969,61897,87016,71279,83118,100969,110449,104479,128494,152049,154772,163269,212573,245268,272404,234729,290198,310548,338512,539763,622315,296340,889021,393501
2015,1115,R,M,10785,811,1598,0,0,951,0,0,531,0,0,1074,0,0,0,0,601,1244,621,2220,3632,2065,2317,1334,1227,2371,4498,5022,3457,2680,3892,4997,2629,5633,6106,6457,14476,7728,12530,7501,8253,12274,7616,12446,8177,13185,8520,15922,15261,16669,15924,20201,16476,22101,23111,18915,23817,30605,28478,36438,36533,34231,46196,37827,39755,38802,55426,49001,62457,41060,70851,74167,60169,87952,82585,72955,93954,88772,94936,121123,89261,117422,128167,133515,141315,168336,200061,185320,129451,249072,196138,163315,216282,400122,125038,235366,857405,1200367,0,.,1000306
2015,1115,R,F,10058,434,418,0,0,512,485,0,553,586,0,0,0,614,0,617,1325,0,2845,1884,550,1638,1011,1787,397,728,1787,1047,1691,1051,1480,2310,2442,3544,2228,3018,2520,2079,4644,3326,3706,4108,4470,812,2000,5253,2736,2654,3734,5901,2949,7034,5103,5918,6993,7210,8563,9976,9315,8027,7223,11572,11433,13614,10874,17132,19874,15475,15791,18245,18740,22652,26168,28739,38435,37170,46206,51788,49755,75133,65057,71869,92727,103525,93592,117472,140390,148313,170187,205371,253165,288786,237354,273810,342246,353982,500000,550000,333333,888889,372881
2015,1117,T,B,6766,452,317,255,402,205,341,140,221,307,154,152,0,327,168,262,794,1136,1303,1058,1511,816,1359,1175,1593,2249,1950,2594,3392,3130,2795,3248,3306,4050,5310,4499,4828,5603,5156,6604,6151,6955,7537,6269,6010,7611,9112,8249,9384,8389,10808,10174,10380,11960,11831,13265,14306,14265,15306,17637,18675,20819,21048,23876,22729,28266,27909,29053,34755,31134,37711,40624,32349,50568,50217,49823,61476,58578,69226,83315,80113,85971,103918,116965,127486,139512,159473,167267,176206,206167,229190,227618,296500,327212,313325,395472,428817,335645,385265,392415,375017
2015,1117,T,M,7885,628,370,0,394,133,132,136,142,446,150,0,0,160,165,515,1045,1713,1512,1494,2369,1401,1774,1870,2125,3573,3118,3925,5189,4788,4278,3895,5398,6313,7848,7012,7269,7957,8451,8852,8910,10280,11743,9514,8759,12590,13451,12861,15349,12995,17000,15534,15667,19033,19743,20688,22813,23980,24220,29893,32507,35907,36717,40843,41417,46845,46352,47581,55065,48010,59988,76708,50463,84185,79759,77204,98957,87295,109262,129084,122848,113594,129839,147116,174690,184474,202053,174008,203936,246664,189838,209746,308519,270228,391855,371366,334229,167115,501344,707779,101968
2015,1117,T,F,5586,266,261,522,410,281,563,144,306,159,158,310,0,501,171,0,536,535,1059,511,495,158,879,394,1024,829,692,1194,1499,1365,1212,2564,1113,1735,2758,1919,2356,3280,1969,4445,3519,3828,3633,3252,3475,3140,5280,4203,4237,4494,5572,5735,6093,6254,5498,7484,7970,7154,8962,9135,9332,10932,10983,13116,11030,16978,17141,18475,23602,22149,26319,23153,24228,36659,38255,39076,47811,48397,55037,67819,66045,77494,96534,108540,114741,128286,149515,165556,169683,197507,236993,231022,294061,336888,300593,399093,449319,374476,363911,325246,486478
2015,1117,U,B,5994,413,245,246,428,87,261,179,95,196,196,195,0,314,216,112,891,869,1214,1058,1526,467,1278,928,1513,2390,1688,2968,3050,2829,2718,3127,3527,3291,5122,4157,5111,5751,5272,6292,5842,7070,7191,6667,5469,7292,9335,7761,9674,8070,10439,9231,9950,12701,11882,13284,14164,13777,15719,16935,18539,21332,20167,23851,22319,27467,27654,29844,35149,32117,36660,40700,35719,50862,50850,52440,64590,60188,71730,84934,80773,90566,103759,124552,132440,140508,166221,185478,186248,212553,231690,243016,311542,339812,312910,388897,357913,331749,352109,509572,340355
