Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
1989,1154,T,F,5739,24470,29021,27797,28159,26597,33339,37266,33631,24125,23964,34568,33044,39138,25955,18649,20335,11075,6404
1989,1154,U,B,7365,31103,38823,38030,40894,36492,45384,52315,49316,34909,29313,38106,29339,30364,18104,12032,11521,6110,3434
1989,1154,U,M,3780,15806,19759,19378,19922,18086,22427,25350,23947,16951,13642,17496,12920,11757,5531,3317,2611,1042,500
1989,1154,U,F,3585,15297,19064,18653,20972,18406,22957,26965,25369,17958,15671,20610,16419,18608,12573,8715,8911,5068,2934
1989,1154,R,B,4499,18449,20373,18602,16277,17814,23322,23704,18756,13101,15929,26383,30869,32832,19216,13216,14363,7388,4023
1989,1154,R,M,2345,9275,10415,9457,9090,9623,12940,13403,10494,6934,7636,12425,14244,12301,5834,3282,2939,1381,552
1989,1154,R,F,2154,9174,9958,9145,7187,8191,10382,10301,8262,6167,8293,13958,16625,20531,13383,9934,11425,6008,3471
1989,1161,T,B,16934,71468,85571,83964,88046,83084,97028,106824,99774,75034,72554,101866,89912,93111,59609,44086,43975,24312,11955
1989,1161,T,M,8579,36376,43492,42894,45181,43405,49816,54595,50639,37044,33728,48087,41109,36397,18269,11445,9429,4308,1617
1989,1161,T,F,8355,35092,42080,41071,42866,39679,47212,52229,49135,37990,38826,53779,48803,56714,41340,32642,34546,20004,10338
1989,1161,U,B,11709,49041,59986,59442,65558,60383,69448,77569,74397,56296,49271,64157,48676,49582,29630,20564,18777,10270,5291
1989,1161,U,M,5926,24984,30610,30466,32339,30700,34452,38083,36331,27046,22697,29999,21883,20072,9268,5880,4477,1888,749
1989,1161,U,F,5783,24057,29377,28976,33219,29683,34996,39486,38066,29251,26574,34159,26793,29510,20362,14684,14300,8382,4542
1989,1161,R,B,5225,22427,25585,24523,22489,22701,27580,29255,25377,18738,23283,37709,41236,43529,29980,23523,25198,14042,6664
1989,1161,R,M,2653,11392,12882,12428,12842,12705,15364,16512,14308,9998,11031,18089,19227,16325,9002,5565,4952,2420,868
1989,1161,R,F,2572,11035,12703,12095,9647,9996,12216,12743,11069,8740,12252,19621,22010,27204,20978,17958,20246,11623,5796
1989,1166,T,B,15379,67961,82074,76765,73180,69932,90703,100129,90180,62418,54099,75276,71934,80091,52814,32669,32500,17870,10013
1989,1166,T,M,7784,34443,41513,39139,36812,35354,46505,51097,46016,31530,26530,36080,32410,30230,15204,8236,6827,3121,1380
1989,1166,T,F,7595,33518,40561,37627,36368,34578,44199,49032,44164,30889,27569,39196,39524,49861,37610,24433,25673,14750,8634
1989,1166,U,B,10610,47059,58385,55032,56036,51325,66477,74694,68715,47587,37437,49110,41159,45332,28840,17478,16005,8694,4814
1989,1166,U,M,5391,23858,29565,28157,26963,25340,33378,37075,34176,23612,18216,23205,18033,17461,8408,4755,3608,1544,723
1989,1166,U,F,5219,23201,28820,26875,29073,25985,33099,37619,34539,23975,19221,25905,23126,27871,20432,12723,12397,7150,4091
